epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2571.86,0.48192,0.73916,0.42105,0.87857,0.84454,0.70579,0.79373,0.66929,0.81019,0.65117,0.73158,0.53916,0.51167,0.92613,1.43339,0.94837,0.00886404,0.00886404,0.00886404
112,2594.71,0.47326,0.72819,0.41497,0.87505,0.9013,0.71637,0.81436,0.66815,0.89474,0.70791,0.80311,0.57321,0.54382,0.96277,1.39807,0.96118,0.00884414,0.00884414,0.00884414
113,2618.01,0.47546,0.72139,0.41568,0.87569,0.90151,0.76886,0.88509,0.72435,0.86866,0.73641,0.84516,0.6046,0.53722,0.95423,1.30333,0.96672,0.00882409,0.00882409,0.00882409
114,2640.08,0.48037,0.73234,0.41107,0.87837,0.85454,0.70099,0.81419,0.67182,0.8132,0.6548,0.75227,0.54364,0.56471,1.04189,1.4639,0.99578,0.00880389,0.00880389,0.00880389
115,2661.78,0.47761,0.74412,0.41714,0.877,0.92632,0.72466,0.84479,0.68655,0.89444,0.69155,0.79818,0.57461,0.60768,1.04919,1.43103,1.02303,0.00878354,0.00878354,0.00878354
116,2684.78,0.47431,0.71728,0.40604,0.87569,0.85408,0.73286,0.82998,0.69699,0.84412,0.72111,0.822,0.57512,0.55617,0.95381,1.39969,0.9769,0.00876305,0.00876305,0.00876305
117,2707.89,0.47168,0.72657,0.41627,0.87474,0.91716,0.74846,0.86673,0.72781,0.89685,0.72697,0.84393,0.61097,0.5319,0.9204,1.32242,0.96155,0.00874241,0.00874241,0.00874241
118,2730.98,0.46482,0.72461,0.41209,0.87316,0.91214,0.71148,0.86244,0.7144,0.87634,0.71315,0.83549,0.59829,0.54918,0.97689,1.37722,0.97568,0.00872162,0.00872162,0.00872162
119,2754.05,0.47516,0.73729,0.4117,0.87602,0.88434,0.70581,0.83942,0.69693,0.8547,0.69471,0.80421,0.58111,0.52163,0.97652,1.37912,0.93937,0.00870069,0.00870069,0.00870069
120,2776.14,0.47947,0.71485,0.40589,0.87738,0.91749,0.70469,0.85106,0.70564,0.87648,0.66021,0.78941,0.57171,0.5382,1.06477,1.36102,0.95824,0.00867961,0.00867961,0.00867961
121,2799.38,0.46596,0.7128,0.39775,0.87144,0.86382,0.72752,0.82423,0.67598,0.81528,0.67093,0.75192,0.54927,0.53951,1.06195,1.38846,0.96423,0.00865839,0.00865839,0.00865839
122,2822.72,0.46531,0.71363,0.402,0.87218,0.89994,0.73691,0.84266,0.69732,0.89048,0.71991,0.82378,0.57849,0.53273,0.94275,1.32003,0.95834,0.00863703,0.00863703,0.00863703
123,2845.99,0.47728,0.72418,0.41252,0.87466,0.85382,0.72917,0.82621,0.67495,0.84427,0.71661,0.80399,0.57082,0.54162,0.91669,1.32555,0.9545,0.00861553,0.00861553,0.00861553
124,2869.12,0.47724,0.73841,0.40882,0.87569,0.91415,0.71054,0.81806,0.68148,0.86112,0.67214,0.77219,0.5475,0.54357,0.98217,1.4394,0.96626,0.00859389,0.00859389,0.00859389
125,2892.51,0.47079,0.72968,0.40171,0.87204,0.87761,0.72812,0.83881,0.68044,0.85866,0.70645,0.80476,0.57132,0.52929,0.94811,1.35224,0.94782,0.0085721,0.0085721,0.0085721
