epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1451.8,0.69617,0.66431,1.05447,0.9276,0.8828,0.94625,0.82064,0.59003,0.49875,0.95966,0.00890339,0.00890339,0.00890339
110,1464.66,0.70203,0.68014,1.06641,0.9314,0.89935,0.94893,0.81694,0.58844,0.50017,0.95146,0.00888379,0.00888379,0.00888379
111,1477.57,0.65541,0.68054,1.03861,0.92914,0.89125,0.94776,0.81659,0.57869,0.48766,0.95512,0.00886404,0.00886404,0.00886404
112,1490.48,0.706,0.71373,1.06611,0.9383,0.86904,0.94327,0.81714,0.59207,0.51811,0.95858,0.00884414,0.00884414,0.00884414
113,1503.96,0.70232,0.68024,1.05806,0.91304,0.89251,0.9468,0.82736,0.56134,0.50569,0.9344,0.00882409,0.00882409,0.00882409
114,1517.59,0.7372,0.74909,1.07386,0.93055,0.886,0.94328,0.81844,0.56573,0.51968,0.94733,0.00880389,0.00880389,0.00880389
115,1531.39,0.66462,0.68715,1.04311,0.93268,0.88463,0.93932,0.82475,0.56172,0.5095,0.93635,0.00878354,0.00878354,0.00878354
116,1544.11,0.7277,0.68537,1.06104,0.90632,0.91355,0.948,0.82439,0.56901,0.51142,0.94814,0.00876305,0.00876305,0.00876305
117,1557.42,0.67251,0.67093,1.03727,0.92545,0.89323,0.95171,0.82297,0.5689,0.49752,0.9533,0.00874241,0.00874241,0.00874241
118,1570.31,0.69567,0.71044,1.05617,0.94167,0.90482,0.95367,0.82971,0.57693,0.50554,0.95649,0.00872162,0.00872162,0.00872162
119,1582.03,0.70811,0.66517,1.05177,0.94078,0.8979,0.95049,0.82552,0.57354,0.48191,0.94371,0.00870069,0.00870069,0.00870069
120,1594.7,0.6838,0.67028,1.04299,0.9104,0.89846,0.9437,0.827,0.5609,0.50871,0.94347,0.00867961,0.00867961,0.00867961
121,1607.51,0.69637,0.69682,1.04696,0.92585,0.90699,0.9417,0.82414,0.56265,0.52044,0.94516,0.00865839,0.00865839,0.00865839
122,1620.57,0.69366,0.67394,1.05461,0.9373,0.89335,0.95336,0.83618,0.54985,0.47085,0.93153,0.00863703,0.00863703,0.00863703
123,1633.94,0.70127,0.65613,1.04688,0.93501,0.90156,0.94909,0.82528,0.56218,0.47755,0.95113,0.00861553,0.00861553,0.00861553
124,1646.9,0.67994,0.65245,1.04028,0.90708,0.89701,0.94141,0.82644,0.55687,0.49266,0.93805,0.00859389,0.00859389,0.00859389
125,1660.04,0.699,0.68045,1.0491,0.92897,0.88346,0.94384,0.82707,0.55163,0.48514,0.9297,0.0085721,0.0085721,0.0085721
126,1672.99,0.68677,0.68085,1.04751,0.91776,0.90178,0.94983,0.82939,0.5654,0.48311,0.94275,0.00855018,0.00855018,0.00855018
127,1685.65,0.69104,0.6669,1.0409,0.9067,0.91557,0.9469,0.83121,0.57031,0.47276,0.94251,0.00852812,0.00852812,0.00852812
128,1698.53,0.69924,0.66662,1.04516,0.91124,0.89175,0.92671,0.80177,0.57613,0.52772,0.94281,0.00850592,0.00850592,0.00850592
129,1711.77,0.68186,0.66698,1.03809,0.92937,0.8989,0.94834,0.82378,0.5778,0.49087,0.94987,0.00848358,0.00848358,0.00848358
130,1724.9,0.67202,0.65294,1.05041,0.91527,0.90083,0.94975,0.82765,0.57468,0.48269,0.95171,0.00846111,0.00846111,0.00846111
131,1738.5,0.68565,0.69125,1.04929,0.90748,0.91551,0.94508,0.83044,0.56607,0.49031,0.94434,0.00843851,0.00843851,0.00843851
132,1751.74,0.68121,0.67131,1.04243,0.92935,0.91537,0.95301,0.8398,0.55358,0.45805,0.93305,0.00841577,0.00841577,0.00841577
133,1765.1,0.65104,0.62115,1.02693,0.92485,0.91823,0.95026,0.83663,0.55869,0.46859,0.93782,0.0083929,0.0083929,0.0083929
134,1778.15,0.69553,0.65843,1.04155,0.93597,0.927,0.96188,0.83322,0.55518,0.43926,0.93541,0.00836989,0.00836989,0.00836989
135,1791.43,0.66842,0.65868,1.03736,0.90736,0.92612,0.95399,0.8319,0.55931,0.44678,0.93401,0.00834676,0.00834676,0.00834676
136,1804.41,0.66716,0.63983,1.03806,0.91938,0.90473,0.95552,0.84409,0.54807,0.46524,0.93721,0.00832349,0.00832349,0.00832349
137,1817.14,0.66796,0.63815,1.03159,0.94938,0.90699,0.95676,0.8398,0.56302,0.45061,0.93729,0.0083001,0.0083001,0.0083001
138,1830.06,0.65621,0.63676,1.04857,0.93242,0.91833,0.94731,0.84016,0.55858,0.46825,0.93502,0.00827658,0.00827658,0.00827658
139,1842.81,0.67604,0.64407,1.03091,0.93548,0.90495,0.95472,0.83855,0.5595,0.45856,0.93292,0.00825293,0.00825293,0.00825293
140,1855.56,0.65727,0.63985,1.02373,0.9199,0.91379,0.94787,0.83128,0.54386,0.47343,0.9268,0.00822915,0.00822915,0.00822915
141,1868.49,0.67429,0.65814,1.04332,0.92185,0.91495,0.94934,0.83403,0.54878,0.46949,0.92597,0.00820525,0.00820525,0.00820525
142,1881.35,0.67415,0.63153,1.03084,0.94643,0.90743,0.95699,0.83974,0.54406,0.45291,0.92344,0.00818122,0.00818122,0.00818122
143,1894.59,0.65822,0.6327,1.02854,0.90737,0.91409,0.94229,0.83372,0.53281,0.46884,0.92167,0.00815707,0.00815707,0.00815707
144,1907.73,0.68586,0.67153,1.05206,0.91354,0.91492,0.94818,0.83672,0.54096,0.46018,0.92358,0.0081328,0.0081328,0.0081328
145,1920.83,0.65916,0.62661,1.03341,0.93703,0.91124,0.96098,0.84384,0.54294,0.44314,0.92102,0.00810841,0.00810841,0.00810841
146,1933.87,0.65332,0.61963,1.0157,0.93911,0.91154,0.95297,0.83104,0.5644,0.46189,0.93792,0.00808389,0.00808389,0.00808389
147,1946.92,0.68363,0.63177,1.05066,0.93614,0.90612,0.95629,0.83915,0.55248,0.44274,0.92726,0.00805925,0.00805925,0.00805925
148,1960.15,0.6871,0.67672,1.04718,0.93066,0.90697,0.94829,0.83546,0.54215,0.46324,0.92677,0.0080345,0.0080345,0.0080345
149,1973.38,0.6642,0.64317,1.03572,0.92094,0.92327,0.95338,0.83874,0.53599,0.43975,0.92266,0.00800963,0.00800963,0.00800963
150,1987.03,0.66429,0.62504,1.03426,0.93444,0.91843,0.95858,0.83839,0.56212,0.4508,0.93527,0.00798464,0.00798464,0.00798464
151,2001.24,0.65093,0.59329,1.03054,0.92628,0.92021,0.95142,0.83971,0.54265,0.45376,0.93234,0.00795954,0.00795954,0.00795954
152,2015.2,0.66851,0.62118,1.03537,0.93241,0.92148,0.95064,0.83743,0.54003,0.44758,0.91897,0.00793432,0.00793432,0.00793432
153,2028.84,0.65939,0.65386,1.02358,0.93279,0.8869,0.94911,0.83938,0.54635,0.46575,0.92912,0.00790898,0.00790898,0.00790898
154,2042.23,0.68499,0.62041,1.03069,0.9452,0.90625,0.95129,0.83414,0.54171,0.47116,0.93034,0.00788354,0.00788354,0.00788354
155,2055.46,0.68614,0.65737,1.04635,0.9239,0.9131,0.95047,0.83909,0.54152,0.45572,0.92443,0.00785798,0.00785798,0.00785798
156,2069.03,0.67697,0.64007,1.04944,0.93353,0.91737,0.95454,0.84902,0.53335,0.45038,0.92127,0.00783231,0.00783231,0.00783231
157,2082.52,0.63618,0.60308,1.02039,0.92762,0.90454,0.95026,0.83954,0.54545,0.46555,0.92646,0.00780653,0.00780653,0.00780653
158,2096.24,0.68345,0.64176,1.04398,0.93174,0.91341,0.95106,0.83971,0.54318,0.44085,0.92562,0.00778065,0.00778065,0.00778065
159,2109.64,0.69535,0.62591,1.04268,0.9486,0.91231,0.9528,0.84111,0.55304,0.44154,0.93172,0.00775465,0.00775465,0.00775465
160,2122.8,0.61843,0.61156,1.02287,0.93434,0.91944,0.9534,0.84294,0.55203,0.4555,0.94177,0.00772855,0.00772855,0.00772855
161,2135.42,0.65836,0.58223,1.02365,0.94156,0.92763,0.9588,0.8544,0.52594,0.43622,0.91785,0.00770234,0.00770234,0.00770234
162,2148.51,0.63487,0.58348,1.02201,0.93614,0.91797,0.95466,0.84445,0.54918,0.44872,0.93366,0.00767603,0.00767603,0.00767603
163,2161.39,0.66736,0.63018,1.03587,0.94976,0.91785,0.95236,0.84287,0.53264,0.44216,0.92601,0.00764961,0.00764961,0.00764961
164,2174.15,0.63554,0.5911,1.02087,0.93607,0.9116,0.95232,0.84583,0.55272,0.45374,0.93229,0.0076231,0.0076231,0.0076231
165,2187.6,0.65461,0.59136,1.02923,0.93616,0.90509,0.94907,0.83581,0.53995,0.45443,0.9289,0.00759648,0.00759648,0.00759648
166,2200.93,0.65723,0.63099,1.03031,0.93023,0.89871,0.94698,0.8345,0.54251,0.45437,0.93493,0.00756976,0.00756976,0.00756976
167,2214.32,0.6607,0.60406,1.03709,0.94642,0.9094,0.95773,0.84541,0.54578,0.4238,0.93068,0.00754293,0.00754293,0.00754293
168,2227.59,0.65954,0.61325,1.03874,0.94127,0.90424,0.95083,0.84765,0.53562,0.42939,0.92803,0.00751602,0.00751602,0.00751602
169,2241.02,0.66728,0.58902,1.03345,0.92251,0.92117,0.95347,0.84708,0.53369,0.42355,0.92926,0.007489,0.007489,0.007489
170,2254.77,0.64735,0.6085,1.03359,0.91744,0.91473,0.95146,0.8426,0.53923,0.43143,0.93177,0.00746189,0.00746189,0.00746189
171,2268.45,0.62542,0.59107,1.00647,0.91941,0.92805,0.95579,0.84706,0.54417,0.41493,0.93006,0.00743468,0.00743468,0.00743468
172,2281.96,0.64489,0.5911,1.01419,0.93435,0.91422,0.95747,0.8524,0.53253,0.42594,0.92009,0.00740738,0.00740738,0.00740738
173,2294.86,0.63495,0.57868,1.02335,0.93172,0.91797,0.95858,0.84911,0.53246,0.42679,0.92234,0.00737998,0.00737998,0.00737998
174,2308.39,0.63029,0.58349,1.01252,0.94514,0.90492,0.95393,0.84237,0.54768,0.44923,0.9325,0.0073525,0.0073525,0.0073525
175,2321.72,0.64831,0.58889,1.02668,0.93221,0.91602,0.95549,0.84489,0.5395,0.43199,0.92796,0.00732492,0.00732492,0.00732492
176,2335.92,0.65336,0.59525,1.02461,0.92594,0.92481,0.95388,0.84113,0.54463,0.45251,0.9306,0.00729725,0.00729725,0.00729725
177,2349.09,0.65201,0.59104,1.01895,0.91965,0.92827,0.95676,0.84591,0.53839,0.43411,0.92529,0.0072695,0.0072695,0.0072695
178,2362.44,0.64693,0.57556,1.02569,0.95055,0.92998,0.96198,0.8492,0.52912,0.42448,0.9189,0.00724165,0.00724165,0.00724165
179,2375.17,0.62315,0.56585,1.01076,0.93649,0.93642,0.96193,0.85539,0.52525,0.41966,0.91886,0.00721372,0.00721372,0.00721372
180,2388.13,0.64752,0.57226,1.02641,0.9359,0.91521,0.95275,0.84844,0.5321,0.43361,0.92135,0.00718571,0.00718571,0.00718571
